# These data have not received director's approval and as such are provisional and are subject to revision. The data are released on the conditions that neither the USGS nor the United States Government may be held liable for any damages resulting from its use.,,,,,,,,,,
#,,,,,,,,,,
#SITE_ABB: A text abbreviation of the site name primarily for use within the National Water Quality Program,,,,,,,,,,
#SITE_QW_ID: Unique USGS station number indicating location where water-quality samples are collected (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text),,,,,,,,,,
#SITE_FLOW_ID: Typically a unique USGS station number indicating location where streamflow data is recorded. In some instances these data are obtained from outside sources--in those cases the site number used by that entity is displayed, if no site number is available an abbreviated indicator of the collecting agency is displayed  (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text) ,,,,,,,,,
#CONSTIT: A character abbreviation indicative of the water-quality constituent being reported. Values include NO3_NO2: nitrate plus nitrite, filtered as N; TN: total nitrogen as N; TP: total phosphorus as P; SSC: suspended-sediment concentration; NH3: ammonia, filtered as N; OP: orthophosphate, filtered, as P; TKN: total Kjeldahl nitrogen, as N; SI: silica, filtered, as SiO2,,,
#WY: A numeric identifier of the water year in which data were recorded.  A water year is defined as the 12-month period October 1, for any given year through September 30, of the following year. The water year is designated by the calendar year in which it ends.,,,,,,,,
#MODTYPE: A character indicator of the type of model used to compute water-quality loads. Values include COMP indicating the composite method; CONTIN indicating loads were computed through the use of continuous nitrate data; DAILY indicating data were computed using daily values (SSC only); REG indicating models were computed using regression methods described in the technical information portion of the website using a 5-year moving window; REG_2; REG_3; REG_4 indicating models were computed using regression methods described in the technical information portion of the website but with a 2 3 or 4-year moving windows (respectively) as opposed to a 5-year moving window; REG_PRELIM indicating that a model was developed using data collecting during the initial 2-4 years in which a site was sampled; models at these sites will continue to be updated until 5 years of data are collected; and REGHIST indicating that models were computed according to procedures described in Aulenbach and others (2007),,,,,,,,,,
#TONS: Annual water-quality load measured in tons,,,,,,,,,,
#TONS_L95: Lower 95 percent confidence interval about the annual water-quality load measured in tons. NA values indicate that confidence intervals were not computed.,,,,,,,,,,
#TONS_U95: Upper 95 percent confidence interval about the annual water-quality load measured in tons. NA values indicate that confidence intervals were not computed.,,,,,,,,,,
#FWC: Flow-weighted constituent concentration in milligrams per liter per year,,,,,,,,,,
#YIELD: Water-quality constituent yield; in tons per square mile; defined as the load divided by the upstream drainage area of the water-quality site.  Yields are not computed (and are listed as NA) for Mississippi and Atchafalaya River sites downstream from the Old River diversion.,,,,,,,,,,
SITE_ABB,SITE_QW_ID,SITE_FLOW_ID,CONSTIT,WY,MODTYPE,TONS,TONS_L95,TONS_U95,FWC,YIELD
BYRN,1466500,1466500,NO3_NO2,2012,REG,0.0222,0.0132,0.0353,0.0117,0.00945
BYRN,1466500,1466500,NO3_NO2,2013,REG,0.0338,0.0219,0.0502,0.0129,0.0144
BYRN,1466500,1466500,NO3_NO2,2014,REG,0.0446,0.0251,0.0765,0.0219,0.019
BYRN,1466500,1466500,NO3_NO2,2015,REG,0.0378,0.0299,0.0491,0.0185,0.0161
BYRN,1466500,1466500,NO3_NO2,2016,REG,0.0264,0.0196,0.0372,0.0181,0.0112
BYRN,1466500,1466500,SI,1998,REG,8.16,8.07,8.25,3.32,3.47
BYRN,1466500,1466500,SI,1999,REG,6.05,5.99,6.12,4.24,2.57
BYRN,1466500,1466500,SI,2000,REG,6.51,6.41,6.61,4.27,2.77
BYRN,1466500,1466500,SI,2001,REG,6.95,6.88,7.02,3.96,2.96
BYRN,1466500,1466500,SI,2002,REG,4.19,4.13,4.25,4.5,1.78
BYRN,1466500,1466500,SI,2003,REG,5.77,5.64,5.91,2.99,2.46
BYRN,1466500,1466500,SI,2004,REG,8.37,8.17,8.57,3.6,3.56
BYRN,1466500,1466500,SI,2005,REG,7.58,7.37,7.8,3.57,3.23
BYRN,1466500,1466500,SI,2006,REG,7.01,6.84,7.17,3.85,2.98
BYRN,1466500,1466500,SI,2007,REG,8.31,8.08,8.55,3.51,3.54
BYRN,1466500,1466500,SI,2008,REG,5.82,5.76,5.88,4.2,2.48
BYRN,1466500,1466500,SI,2009,REG,6.64,6.58,6.71,4.44,2.83
BYRN,1466500,1466500,SI,2010,REG,8.97,8.86,9.08,3.04,3.82
BYRN,1466500,1466500,SI,2011,REG,7.53,7.47,7.59,4.04,3.2
BYRN,1466500,1466500,SI,2012,REG,5.94,5.73,6.16,3.14,2.53
BYRN,1466500,1466500,SI,2013,REG,9.39,9.09,9.69,3.6,4
BYRN,1466500,1466500,SI,2014,REG,7.63,7.37,7.92,3.74,3.25
BYRN,1466500,1466500,SI,2015,REG,7.41,7.15,7.69,3.63,3.15
BYRN,1466500,1466500,SI,2016,REG,6.35,6.14,6.58,4.36,2.7
BYRN,1466500,1466500,TN,1998,REG,0.279,0.217,0.354,0.113,0.119
BYRN,1466500,1466500,TN,1999,REG,0.185,0.166,0.206,0.13,0.0787
BYRN,1466500,1466500,TN,2000,REG,0.205,0.188,0.224,0.135,0.0872
BYRN,1466500,1466500,TN,2001,REG,0.243,0.209,0.281,0.139,0.103
BYRN,1466500,1466500,TN,2002,REG,0.123,0.108,0.14,0.132,0.0523
BYRN,1466500,1466500,TN,2003,REG,0.344,0.281,0.419,0.178,0.146
BYRN,1466500,1466500,TN,2005,REG,0.178,NA,NA,0.0839,0.0757
BYRN,1466500,1466500,TN,2006,REG,0.394,0.291,0.523,0.216,0.168
BYRN,1466500,1466500,TN,2007,REG,0.471,0.333,0.655,0.199,0.2
BYRN,1466500,1466500,TN,2008,REG,0.18,0.127,0.249,0.13,0.0766
BYRN,1466500,1466500,TN,2009,REG,0.217,0.167,0.277,0.145,0.0923
BYRN,1466500,1466500,TN,2010,REG,0.894,0.586,1.32,0.303,0.38
BYRN,1466500,1466500,TN,2011,REG,0.532,0.409,0.68,0.286,0.226
BYRN,1466500,1466500,TN,2012,REG,0.549,0.438,0.68,0.29,0.234
BYRN,1466500,1466500,TN,2013,REG,1.24,0.982,1.54,0.475,0.528
BYRN,1466500,1466500,TN,2014,REG,0.647,0.485,0.856,0.317,0.275
BYRN,1466500,1466500,TN,2015,REG,0.696,0.613,0.797,0.341,0.296
BYRN,1466500,1466500,TN,2016,REG,0.22,0.197,0.247,0.151,0.0936
BYRN,1466500,1466500,TP,2001,REG,0.00345,0.00303,0.00391,0.00197,0.00147
BYRN,1466500,1466500,TP,2002,REG,0.00117,0.00096,0.00141,0.00126,0.000498
BYRN,1466500,1466500,TP,2003,REG,0.00427,0.00381,0.00479,0.00221,0.00182
BYRN,1466500,1466500,TP,2004,REG,0.00693,0.0055,0.00863,0.00298,0.00295
BYRN,1466500,1466500,TP,2005,REG,0.00486,0.00427,0.00553,0.00229,0.00207
BYRN,1466500,1466500,TP,2006,REG,0.00476,0.00355,0.00625,0.00261,0.00203
BYRN,1466500,1466500,TP,2007,REG,0.00544,0.00382,0.00762,0.0023,0.00231
BYRN,1466500,1466500,TP,2008,REG,0.00207,0.00131,0.00312,0.00149,0.000881
BYRN,1466500,1466500,TP,2009,REG,0.00287,0.00199,0.00403,0.00192,0.00122
BYRN,1466500,1466500,TP,2010,REG,0.00797,0.00478,0.0128,0.0027,0.00339
BYRN,1466500,1466500,TP,2011,REG,0.00695,0.00356,0.0124,0.00373,0.00296
BYRN,1466500,1466500,TP,2012,REG,0.017,0.0117,0.024,0.00899,0.00723
BYRN,1466500,1466500,TP,2013,REG,0.0487,0.0192,0.104,0.0187,0.0207
BYRN,1466500,1466500,TP,2014,REG,0.0123,0.00785,0.0189,0.00603,0.00523
BYRN,1466500,1466500,TP,2015,REG,0.018,0.00995,0.0325,0.00883,0.00766
BYRN,1466500,1466500,TP,2016,REG,0.0156,0.0103,0.0243,0.0107,0.00664
RENO,1545600,1545600,NO3_NO2,2012,REG_4,17.6,16.5,18.7,0.217,0.381
RENO,1545600,1545600,NO3_NO2,2014,REG_4,15.2,13.8,16.8,0.236,0.329
RENO,1545600,1545600,NO3_NO2,2015,REG_4,15,13.7,16.3,0.231,0.325
RENO,1545600,1545600,NO3_NO2,2016,REG_4,13.8,12.9,14.8,0.228,0.299
RENO,1545600,1545600,SI,2012,REG,146,144,149,1.8,3.16
RENO,1545600,1545600,SI,2013,REG,193,189,196,2.86,4.18
RENO,1545600,1545600,SI,2014,REG,252,245,258,3.91,5.45
RENO,1545600,1545600,SI,2015,REG,286,280,292,4.4,6.19
RENO,1545600,1545600,SI,2016,REG,263,259,268,4.35,5.69
RENO,1545600,1545600,TP,2011,REG,0.542,0.391,0.735,0.00448,0.0117
RENO,1545600,1545600,TP,2012,REG,0.256,0.21,0.309,0.00316,0.00554
RENO,1545600,1545600,TP,2013,REG,0.242,0.187,0.309,0.00358,0.00524
RENO,1545600,1545600,TP,2014,REG,0.306,0.2,0.455,0.00475,0.00662
RENO,1545600,1545600,TP,2015,REG,0.321,0.237,0.428,0.00494,0.00695
CONO,1578310,1578310,NH3,1993,REG,5020,4110,6080,0.0977,0.185
CONO,1578310,1578310,NH3,1994,REG,4070,3520,4690,0.0764,0.15
CONO,1578310,1578310,NH3,1995,REG,1930,1660,2220,0.0703,0.0712
CONO,1578310,1578310,NH3,1996,REG,3410,2770,4150,0.0665,0.126
CONO,1578310,1578310,NH3,1997,REG,2130,1760,2550,0.0504,0.0786
CONO,1578310,1578310,NH3,1998,REG,2280,1800,2860,0.0501,0.0841
CONO,1578310,1578310,NH3,1999,REG,1880,1490,2340,0.0838,0.0694
CONO,1578310,1578310,NH3,2000,REG,2190,1830,2610,0.0624,0.0808
CONO,1578310,1578310,NH3,2001,REG,1640,1310,2030,0.0681,0.0605
CONO,1578310,1578310,NH3,2002,REG,1180,911,1520,0.0425,0.0435
CONO,1578310,1578310,NH3,2003,REG,3200,2490,4050,0.0636,0.118
CONO,1578310,1578310,NH3,2004,REG,4340,2990,6090,0.0661,0.16
CONO,1578310,1578310,NH3,2005,REG,2550,1860,3410,0.051,0.0941
CONO,1578310,1578310,NH3,2006,REG,2110,1440,2990,0.0459,0.0779
CONO,1578310,1578310,NH3,2007,REG,2250,1620,3030,0.0567,0.083
CONO,1578310,1578310,NH3,2008,REG,2180,1650,2830,0.054,0.0804
CONO,1578310,1578310,NH3,2009,REG,1530,1180,1960,0.0498,0.0565
CONO,1578310,1578310,NH3,2010,REG,1670,1300,2120,0.0499,0.0616
CONO,1578310,1578310,NH3,2011,REG,4030,2970,5340,0.0623,0.149
CONO,1578310,1578310,NH3,2012,REG,1630,1400,1900,0.0404,0.0601
CONO,1578310,1578310,NH3,2013,REG,1620,1410,1860,0.0473,0.0598
CONO,1578310,1578310,NH3,2014,REG,1850,1590,2140,0.0515,0.0683
CONO,1578310,1578310,NH3,2015,REG,1890,1520,2330,0.0635,0.0697
CONO,1578310,1578310,NH3,2016,REG,1640,1300,2030,0.0583,0.0605
CONO,1578310,1578310,NO3_NO2,1993,REG,64700,60900,68700,1.26,2.39
CONO,1578310,1578310,NO3_NO2,1994,REG,66200,62600,70000,1.24,2.44
CONO,1578310,1578310,NO3_NO2,1995,REG,38500,36000,41100,1.4,1.42
CONO,1578310,1578310,NO3_NO2,1996,REG,66500,62800,70300,1.3,2.45
CONO,1578310,1578310,NO3_NO2,1997,REG,55000,51700,58500,1.3,2.03
CONO,1578310,1578310,NO3_NO2,1998,REG,59600,56400,63000,1.31,2.2
CONO,1578310,1578310,NO3_NO2,1999,REG,24500,21800,27400,1.09,0.904
CONO,1578310,1578310,NO3_NO2,2000,REG,41100,37500,45000,1.17,1.52
CONO,1578310,1578310,NO3_NO2,2001,REG,28000,25900,30300,1.16,1.03
CONO,1578310,1578310,NO3_NO2,2002,REG,22900,20900,25000,0.826,0.845
CONO,1578310,1578310,NO3_NO2,2003,REG,65500,59200,72300,1.3,2.42
CONO,1578310,1578310,NO3_NO2,2004,REG,90800,82300,100000,1.38,3.35
CONO,1578310,1578310,NO3_NO2,2005,REG,74000,65800,83000,1.48,2.73
CONO,1578310,1578310,NO3_NO2,2006,REG,57500,51300,64100,1.25,2.12
CONO,1578310,1578310,NO3_NO2,2007,REG,44800,41300,48600,1.13,1.65
CONO,1578310,1578310,NO3_NO2,2008,REG,41000,38100,44100,1.02,1.51
CONO,1578310,1578310,NO3_NO2,2009,REG,31900,29300,34700,1.04,1.18
CONO,1578310,1578310,NO3_NO2,2010,REG,39300,36800,42000,1.17,1.45
CONO,1578310,1578310,NO3_NO2,2011,REG,69700,64700,75000,1.08,2.57
CONO,1578310,1578310,NO3_NO2,2012,REG,43300,40800,45900,1.07,1.6
CONO,1578310,1578310,NO3_NO2,2013,REG,36500,34300,38800,1.07,1.35
CONO,1578310,1578310,NO3_NO2,2014,REG,44600,41000,48300,1.24,1.65
CONO,1578310,1578310,NO3_NO2,2015,REG,30300,28200,32500,1.02,1.12
CONO,1578310,1578310,NO3_NO2,2016,REG,30500,28200,32800,1.08,1.13
CONO,1578310,1578310,OP,1993,REG,568,403,779,0.0111,0.021
CONO,1578310,1578310,OP,1994,REG,531,398,695,0.00996,0.0196
CONO,1578310,1578310,OP,1995,REG,227,163,308,0.00826,0.00838
CONO,1578310,1578310,OP,1996,REG,394,290,524,0.00769,0.0145
CONO,1578310,1578310,OP,1997,REG,328,225,461,0.00776,0.0121
CONO,1578310,1578310,OP,1998,REG,451,323,613,0.0099,0.0166
CONO,1578310,1578310,OP,1999,REG,171,118,240,0.00762,0.00631
CONO,1578310,1578310,OP,2000,REG,458,279,711,0.0131,0.0169
CONO,1578310,1578310,OP,2001,REG,245,159,362,0.0102,0.00904
CONO,1578310,1578310,OP,2002,REG,163,115,225,0.00588,0.00601
CONO,1578310,1578310,OP,2003,REG,655,443,934,0.013,0.0242
CONO,1578310,1578310,OP,2004,REG,876,621,1200,0.0133,0.0323
CONO,1578310,1578310,OP,2005,REG,403,268,582,0.00805,0.0149
CONO,1578310,1578310,OP,2006,REG,550,341,842,0.012,0.0203
CONO,1578310,1578310,OP,2007,REG,514,392,662,0.0129,0.019
CONO,1578310,1578310,OP,2008,REG,439,335,564,0.0109,0.0162
CONO,1578310,1578310,OP,2009,REG,297,222,390,0.00967,0.011
CONO,1578310,1578310,OP,2010,REG,318,243,409,0.00951,0.0117
CONO,1578310,1578310,OP,2011,REG,926,738,1150,0.0143,0.0342
CONO,1578310,1578310,OP,2012,REG,433,333,555,0.0107,0.016
CONO,1578310,1578310,OP,2013,REG,368,290,462,0.0107,0.0136
CONO,1578310,1578310,OP,2014,REG,445,336,578,0.0124,0.0164
CONO,1578310,1578310,OP,2015,REG,390,287,517,0.0131,0.0144
CONO,1578310,1578310,OP,2016,REG,458,314,645,0.0163,0.0169
CONO,1578310,1578310,SI,1993,REG,231000,195000,271000,4.49,8.52
CONO,1578310,1578310,SI,1994,REG,238000,202000,277000,4.47,8.78
CONO,1578310,1578310,SI,1995,REG,96100,81300,113000,3.5,3.55
CONO,1578310,1578310,SI,1996,REG,216000,184000,251000,4.21,7.97
CONO,1578310,1578310,SI,1997,REG,175000,148000,204000,4.14,6.46
CONO,1578310,1578310,SI,1998,REG,196000,164000,233000,4.3,7.23
CONO,1578310,1578310,SI,1999,REG,86500,65800,112000,3.86,3.19
CONO,1578310,1578310,SI,2000,REG,150000,120000,184000,4.28,5.54
CONO,1578310,1578310,SI,2001,REG,87800,67700,112000,3.65,3.24
CONO,1578310,1578310,SI,2002,REG,109000,87700,134000,3.93,4.02
CONO,1578310,1578310,SI,2003,REG,276000,208000,360000,5.49,10.2
CONO,1578310,1578310,SI,2004,REG,311000,248000,384000,4.74,11.5
CONO,1578310,1578310,SI,2005,REG,224000,170000,288000,4.48,8.27
CONO,1578310,1578310,SI,2006,REG,199000,147000,263000,4.33,7.34
CONO,1578310,1578310,SI,2007,REG,199000,161000,244000,5.01,7.34
CONO,1578310,1578310,SI,2008,REG,180000,148000,215000,4.46,6.64
CONO,1578310,1578310,SI,2009,REG,114000,95900,134000,3.71,4.21
CONO,1578310,1578310,SI,2010,REG,137000,117000,160000,4.1,5.06
CONO,1578310,1578310,SI,2011,REG,296000,263000,332000,4.57,10.9
CONO,1578310,1578310,SI,2012,REG,183000,161000,207000,4.53,6.75
CONO,1578310,1578310,SI,2013,REG,116000,102000,131000,3.39,4.28
CONO,1578310,1578310,SI,2014,REG,137000,122000,154000,3.82,5.06
CONO,1578310,1578310,SI,2015,REG,104000,89200,120000,3.49,3.84
CONO,1578310,1578310,SSC,1993,REG,2810000,2100000,3680000,54.7,104
CONO,1578310,1578310,SSC,1994,REG,2170000,1740000,2670000,40.7,80.1
CONO,1578310,1578310,SSC,1995,REG,411000,328000,509000,15,15.2
CONO,1578310,1578310,SSC,1996,REG,3900000,2320000,6150000,76.1,144
CONO,1578310,1578310,SSC,1997,REG,1350000,1040000,1720000,31.9,49.8
CONO,1578310,1578310,SSC,1998,REG,1450000,1150000,1800000,31.8,53.5
CONO,1578310,1578310,SSC,1999,REG,438000,317000,591000,19.5,16.2
CONO,1578310,1578310,SSC,2000,REG,690000,534000,876000,19.7,25.5
CONO,1578310,1578310,SSC,2001,REG,245000,161000,359000,10.2,9.04
CONO,1578310,1578310,SSC,2002,REG,368000,291000,458000,13.3,13.6
CONO,1578310,1578310,SSC,2003,REG,1040000,640000,1590000,20.7,38.4
CONO,1578310,1578310,SSC,2004,REG,9600000,3610000,20900000,146,354
CONO,1578310,1578310,SSC,2005,REG,3400000,1480000,6720000,68,125
CONO,1578310,1578310,SSC,2006,REG,2690000,1270000,5060000,58.5,99.3
CONO,1578310,1578310,SSC,2007,REG,1360000,971000,1860000,34.3,50.2
CONO,1578310,1578310,SSC,2008,REG,1750000,1200000,2480000,43.3,64.6
CONO,1578310,1578310,SSC,2009,REG,326000,257000,408000,10.6,12
CONO,1578310,1578310,SSC,2010,REG,937000,685000,1250000,28,34.6
CONO,1578310,1578310,SSC,2011,REG,18100000,10500000,29200000,280,668
CONO,1578310,1578310,SSC,2012,REG,580000,492000,679000,14.4,21.4
CONO,1578310,1578310,SSC,2013,REG,510000,433000,597000,14.9,18.8
CONO,1578310,1578310,SSC,2014,REG,635000,522000,766000,17.7,23.4
CONO,1578310,1578310,SSC,2015,REG,471000,402000,548000,15.8,17.4
CONO,1578310,1578310,SSC,2016,REG,461000,362000,578000,16.4,17
CONO,1578310,1578310,TN,1993,REG,85800,78900,93000,1.67,3.17
CONO,1578310,1578310,TN,1994,REG,82500,77500,87700,1.55,3.04
CONO,1578310,1578310,TN,1995,REG,41900,38800,45200,1.53,1.55
CONO,1578310,1578310,TN,1996,REG,82800,77300,88700,1.62,3.06
CONO,1578310,1578310,TN,1997,REG,64900,59100,71000,1.53,2.39
CONO,1578310,1578310,TN,1998,REG,72500,68400,76800,1.59,2.68
CONO,1578310,1578310,TN,1999,REG,33400,30700,36200,1.49,1.23
CONO,1578310,1578310,TN,2000,REG,55300,52600,58200,1.58,2.04
CONO,1578310,1578310,TN,2001,REG,36000,34000,38000,1.5,1.33
CONO,1578310,1578310,TN,2002,REG,32600,30200,35100,1.18,1.2
CONO,1578310,1578310,TN,2003,REG,85300,78700,92200,1.7,3.15
CONO,1578310,1578310,TN,2004,REG,141000,122000,162000,2.15,5.2
CONO,1578310,1578310,TN,2005,REG,105000,95500,115000,2.1,3.87
CONO,1578310,1578310,TN,2006,REG,79700,72500,87400,1.73,2.94
CONO,1578310,1578310,TN,2007,REG,65000,60700,69400,1.64,2.4
CONO,1578310,1578310,TN,2008,REG,60200,56600,63900,1.49,2.22
CONO,1578310,1578310,TN,2009,REG,41000,38600,43600,1.33,1.51
CONO,1578310,1578310,TN,2010,REG,52300,49600,55200,1.56,1.93
CONO,1578310,1578310,TN,2011,REG,125000,114000,138000,1.93,4.61
CONO,1578310,1578310,TN,2012,REG,56000,53200,58800,1.39,2.07
CONO,1578310,1578310,TN,2013,REG,49800,47500,52100,1.45,1.84
CONO,1578310,1578310,TN,2014,REG,61800,57200,66700,1.72,2.28
CONO,1578310,1578310,TN,2015,REG,49900,46000,54000,1.68,1.84
CONO,1578310,1578310,TN,2016,REG,41900,38100,46000,1.49,1.55
CONO,1578310,1578310,TP,1993,REG,3110,2500,3840,0.0605,0.115
CONO,1578310,1578310,TP,1994,REG,2900,2440,3430,0.0544,0.107
CONO,1578310,1578310,TP,1995,REG,978,818,1160,0.0356,0.0361
CONO,1578310,1578310,TP,1996,REG,3420,2530,4530,0.0667,0.126
CONO,1578310,1578310,TP,1997,REG,2150,1750,2620,0.0508,0.0793
CONO,1578310,1578310,TP,1998,REG,2040,1720,2400,0.0448,0.0753
CONO,1578310,1578310,TP,1999,REG,985,774,1240,0.0439,0.0363
CONO,1578310,1578310,TP,2000,REG,2030,1690,2430,0.0579,0.0749
CONO,1578310,1578310,TP,2001,REG,1130,969,1310,0.047,0.0417
CONO,1578310,1578310,TP,2002,REG,1180,1040,1340,0.0425,0.0435
CONO,1578310,1578310,TP,2003,REG,3340,2930,3780,0.0664,0.123
CONO,1578310,1578310,TP,2004,REG,6860,5080,9060,0.104,0.253
CONO,1578310,1578310,TP,2005,REG,3550,2860,4360,0.0709,0.131
CONO,1578310,1578310,TP,2006,REG,3230,2670,3870,0.0703,0.119
CONO,1578310,1578310,TP,2007,REG,2770,2330,3260,0.0698,0.102
CONO,1578310,1578310,TP,2008,REG,2690,2210,3250,0.0666,0.0993
CONO,1578310,1578310,TP,2009,REG,1380,1170,1620,0.0449,0.0509
CONO,1578310,1578310,TP,2010,REG,1860,1610,2140,0.0556,0.0686
CONO,1578310,1578310,TP,2011,REG,17600,12000,24800,0.272,0.649
CONO,1578310,1578310,TP,2012,REG,1820,1600,2050,0.0451,0.0672
CONO,1578310,1578310,TP,2013,REG,1710,1540,1900,0.0499,0.0631
CONO,1578310,1578310,TP,2014,REG,2200,1920,2500,0.0613,0.0812
CONO,1578310,1578310,TP,2015,REG,1650,1400,1920,0.0554,0.0609
CONO,1578310,1578310,TP,2016,REG,1660,1410,1940,0.059,0.0613
WARD,1610400,1610400,NO3_NO2,2003,REG,7.16,5.05,9.92,0.246,0.568
WARD,1610400,1610400,NO3_NO2,2004,REG,5.18,3.74,7.01,0.232,0.411
WARD,1610400,1610400,NO3_NO2,2005,REG,2.52,2.12,3.01,0.18,0.2
WARD,1610400,1610400,NO3_NO2,2006,REG,1.46,0.976,2.1,0.134,0.116
WARD,1610400,1610400,NO3_NO2,2007,REG,3.02,2.06,4.29,0.204,0.24
WARD,1610400,1610400,NO3_NO2,2013,REG_PRELIM,1.85,1.63,2.1,0.0979,0.147
WARD,1610400,1610400,NO3_NO2,2014,REG_PRELIM,2.08,1.85,2.32,0.0968,0.165
WARD,1610400,1610400,NO3_NO2,2015,REG_PRELIM,1.33,1.15,1.53,0.103,0.106
WARD,1610400,1610400,NO3_NO2,2016,REG_PRELIM,1.74,1.54,1.97,0.11,0.138
WARD,1610400,1610400,SSC,2003,REG,154,117,202,5.29,12.2
WARD,1610400,1610400,SSC,2004,REG,109,76.3,152,4.89,8.65
WARD,1610400,1610400,SSC,2005,REG,41.4,33.4,52.4,2.96,3.29
WARD,1610400,1610400,SSC,2006,REG,57.3,35.4,88.1,5.27,4.55
WARD,1610400,1610400,TN,2003,REG_2,10.3,5.72,17.4,0.354,0.817
WASH,1646580,1646500,NH3,1993,REG,1040,775,1380,0.0627,0.0899
WASH,1646580,1646500,NH3,1994,REG,1120,838,1470,0.0624,0.0968
WASH,1646580,1646500,NH3,1995,REG,297,227,381,0.0373,0.0257
WASH,1646580,1646500,NH3,1996,REG,1340,1000,1760,0.0573,0.116
WASH,1646580,1646500,NH3,1997,REG,675,514,869,0.0473,0.0583
WASH,1646580,1646500,NH3,1998,REG,1260,858,1790,0.0639,0.109
WASH,1646580,1646500,NH3,1999,REG,263,196,346,0.0527,0.0227
WASH,1646580,1646500,NH3,2000,REG,392,323,470,0.0476,0.0339
WASH,1646580,1646500,NH3,2001,REG,342,263,437,0.0452,0.0296
WASH,1646580,1646500,NH3,2002,REG,85.4,48.4,140,0.0216,0.00738
WASH,1646580,1646500,NH3,2003,REG,836,578,1170,0.0373,0.0723
WASH,1646580,1646500,NH3,2004,REG,492,340,689,0.0281,0.0425
WASH,1646580,1646500,NH3,2005,REG,396,265,569,0.0331,0.0342
WASH,1646580,1646500,NH3,2006,REG,259,178,366,0.0301,0.0224
WASH,1646580,1646500,NH3,2007,REG,316,221,439,0.0306,0.0273
WASH,1646580,1646500,NH3,2008,REG,263,182,368,0.0255,0.0227
WASH,1646580,1646500,NH3,2009,REG,261,179,366,0.0298,0.0226
WASH,1646580,1646500,NH3,2010,REG,327,179,550,0.0254,0.0283
WASH,1646580,1646500,NH3,2011,REG,443,259,708,0.0327,0.0383
WASH,1646580,1646500,NH3,2012,REG,255,176,359,0.024,0.022
WASH,1646580,1646500,NH3,2013,REG,275,206,359,0.0239,0.0238
WASH,1646580,1646500,NH3,2014,REG,372,273,496,0.0278,0.0322
WASH,1646580,1646500,NH3,2015,REG,173,127,230,0.0205,0.015
WASH,1646580,1646500,NH3,2016,REG,255,203,317,0.0231,0.022
WASH,1646580,1646500,NO3_NO2,1993,REG,27300,23600,31400,1.65,2.36
WASH,1646580,1646500,NO3_NO2,1994,REG,27100,24100,30400,1.51,2.34
WASH,1646580,1646500,NO3_NO2,1995,REG,10500,9280,11700,1.32,0.908
WASH,1646580,1646500,NO3_NO2,1996,REG,30700,26800,35100,1.31,2.65
WASH,1646580,1646500,NO3_NO2,1997,REG,18300,15400,21600,1.28,1.58
WASH,1646580,1646500,NO3_NO2,1998,REG,28400,24800,32300,1.44,2.45
WASH,1646580,1646500,NO3_NO2,1999,REG,5460,4750,6250,1.09,0.472
WASH,1646580,1646500,NO3_NO2,2000,REG,10500,9690,11400,1.27,0.908
WASH,1646580,1646500,NO3_NO2,2001,REG,9940,9150,10800,1.31,0.859
WASH,1646580,1646500,NO3_NO2,2002,REG,2820,2370,3340,0.713,0.244
WASH,1646580,1646500,NO3_NO2,2003,REG,33500,29000,38500,1.49,2.9
WASH,1646580,1646500,NO3_NO2,2004,REG,30000,26700,33500,1.71,2.59
WASH,1646580,1646500,NO3_NO2,2005,REG,18900,17300,20600,1.58,1.63
WASH,1646580,1646500,NO3_NO2,2006,REG,11800,10700,12900,1.37,1.02
WASH,1646580,1646500,NO3_NO2,2007,REG,15000,13900,16200,1.45,1.3
WASH,1646580,1646500,NO3_NO2,2008,REG,12400,11100,13800,1.2,1.07
WASH,1646580,1646500,NO3_NO2,2009,REG,8970,7890,10100,1.02,0.775
WASH,1646580,1646500,NO3_NO2,2010,REG,15000,12200,18200,1.17,1.3
WASH,1646580,1646500,NO3_NO2,2011,REG,14300,12100,16800,1.05,1.24
WASH,1646580,1646500,NO3_NO2,2012,REG,16100,13900,18600,1.52,1.39
WASH,1646580,1646500,NO3_NO2,2013,REG,14900,13400,16500,1.29,1.29
WASH,1646580,1646500,NO3_NO2,2014,REG,20500,17800,23500,1.53,1.77
WASH,1646580,1646500,NO3_NO2,2015,REG,9670,8940,10400,1.14,0.836
WASH,1646580,1646500,NO3_NO2,2016,REG,12900,11800,14100,1.17,1.11
WASH,1646580,1646500,OP,1993,REG,529,365,742,0.0319,0.0457
WASH,1646580,1646500,OP,1994,REG,630,433,887,0.0351,0.0545
WASH,1646580,1646500,OP,1995,REG,199,142,271,0.025,0.0172
WASH,1646580,1646500,OP,1996,REG,1020,685,1470,0.0436,0.0882
WASH,1646580,1646500,OP,1997,REG,585,390,844,0.041,0.0506
WASH,1646580,1646500,OP,1998,REG,678,475,940,0.0344,0.0586
WASH,1646580,1646500,OP,1999,REG,178,148,212,0.0357,0.0154
WASH,1646580,1646500,OP,2000,REG,372,328,420,0.0451,0.0322
WASH,1646580,1646500,OP,2001,REG,264,217,317,0.0349,0.0228
WASH,1646580,1646500,OP,2002,REG,128,89.7,177,0.0324,0.0111
